articles,refs,candidate,rouge1,rouge2,rogueL,rogueLs,chrf
"In a statement, the White House said more than 5.6 million fingerprint records were stolen from the Office of Personnel Management (OPM). An initial investigation suggested only 1.1 million were lost. The OPM acts as the personnel office for the US government and keeps records on 21.5 million federal staff. Identity risk The OPM attack was uncovered in April this year and saw attackers make off with ID and security clearance information about US government staff. Social security numbers, names, addresses, health, financial and biometric data were all taken. Fingerprint records were also stolen and the continuing investigation into the breach has revealed that far more went missing than initially thought. The OPM played down the significance of the fingerprint theft saying that the ability to abuse the data was ""currently limited"". However, it acknowledged that the risk could rise as technology improved and fingerprints were increasingly used as a guarantee of identity. ""An inter-agency working group with expertise in this area ... will review the potential ways adversaries could misuse fingerprint data now and in the future,"" it said in a statement. The FBI, Pentagon and Department of Homeland Security are all part of the task force assessing how losing fingerprint data might affect victims. The OPM said it would soon start a massive project to inform all the people whose data had been stolen. Ken Munro from security firm Pen Test Partners said: ""The biggest concern about biometrics since day one has been revocation. ""It is easy to get a new password, pin or credit card after a breach but it's rather harder to get new fingers."" The announcement about the scale of the hack comes as Chinese President Xi Jinping makes a state visit to the US. Security experts have pointed the finger at China as the source of the attack but it has always denied any involvement. Mr Xi and President Obama are due to talk about cybersecurity when they meet later this week.","['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']",['US government employees have been affected by a massive data breach that exposed sensitive personal data.'],0.1818181818181818,0.06451612903225808,0.1818181818181818,0.1818181818181818,25.732927857600828
"Fourteen fire engines were sent to tackle the blaze, which affected a row of buildings on The Esplanade, in the early hours of Sunday. West Sussex fire service said some of the properties were derelict and the buildings were completely destroyed. Emergency teams were at the scene throughout Sunday and inspections by firefighters were due to continue throughout the night. Residents were evacuated to a leisure centre as crews faced ""difficult storm conditions"", the fire service said. Sussex Police said the fire broke out at Beach Restaurant and affected derelict buildings next to it. A police spokesman said a gas supply caught fire and had kept the flames going, but emphasised emergency teams were not dealing with a gas mains explosion. About 30 residents were evacuated from flats close to the fire when crews were called just before 04:00 GMT. Fifty firefighters were involved in tackling the blaze at its height. Lead officer Adrian Murphy said: ""This incident has taken place in the midst of a major storm and it was difficult to stand when we arrived on the seafront. ""Our key priority now is to work with the displaced residents to get them safely home as soon as possible."" One person was treated for smoke inhalation but no other injuries were reported. The Esplanade remained closed at the junctions with West Street and Lennox Street and the closure was likely to remain in place throughout the day and potentially into the week, police said. The blaze is being investigated. Some local residents described the restaurant as selling the best fish and chips in Bognor. On Twitter, Paige posted: ""can't believe the best chippy in bognor has burnt down."" And Chris Jennings wrote: ""My favourite chip restaurant has burned down in Bognor Regis. It's safe to say 2016 has not been a good year.""","['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['A fire has destroyed a popular Bognor Regis restaurant, police have said.']",0.4166666666666667,0.09090909090909091,0.3333333333333333,0.3333333333333333,27.949854604673046
"The 240-turbine Atlantic Array would be double the size of any windfarm currently operating in Britain. The EC confirmed it is taking up the matter with the UK Government due to the ""failure to propose protection sites for the harbour porpoise"". A Defra spokesperson they were working to identify further sites. A letter from Gunter Raad, acting head of environment directorate of the European Commission, said they had received a ""wide-ranging complaint"". ""As a result of our investigations we have now decided to follow this matter up with infringement action,"" the statement said. Mr Raad said the EC was now waiting for a reply from the relevant UK authorities. 'Extensive survey' The EC raised their concerns following a World Wildlife Fund (WWF) report into the delay to designate sites as Special Areas of Conservation, which identifies six possible sites around the UK for the protection of harbour porpoise. The EC warned that the delay has meant that potentially damaging activities are being allowed to progress, potentially without sufficient regard to the needs for the protection of the species. Developer RWE npower said in a statement: ""We have carried out extensive ecological survey work, site investigations and consultation. ""The results and findings have helped shape the development of the wind farm design which we have taken forward into the application. ""Detailed assessment of potential impacts upon marine mammals conclude the proposed wind farm would have no significant adverse effects on Harbour Porpoise."" A Defra spokesperson said: ""We are working to identify further sites to protect this important species in line with EU requirements."" A number of measures had already been taken, they said, ""including introducing measures to prevent accidental entanglement in fishing nets"". Joanne Bell, spokesperson for campaigners Save Our Marine Mammals, said: ""There are a massive amount of harbour porpoises in the Bristol Channel. ""We've been told the EC is taking infringement orders against the UK government, because they believe, as we do, they haven't done enough to protect the porpoises. They haven't designated any special areas of conservation."" The scheme, which would see the 220-metre high turbines built nine miles (16km) off the North Devon coast, was rejected by North Devon Council earlier this month. However Torridge's District Council planning committee voted not to oppose the Atlantic Array. Now independent councillor Chris Leather has put forward a new motion, calling on the council not to support the project. That motion is due to be debated by the full council on 23 September. The proposal will be considered by the Government's Planning Inspectorate, which is responsible for deciding large-scale infrastructure projects.",['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],['The European Commission has taken infringement action against a proposed wind farm in Devon.'],0.3529411764705882,0.125,0.3529411764705882,0.3529411764705882,35.45608560579966
"It is believed the patient contracted the infection while visiting Nigeria, Public Health England (PHE) said. According to the World Health Organisation, the condition is similar to human smallpox and although it is much milder, it can be fatal. The patient has been transferred to a specialist infectious disease centre at Guy's and St Thomas' in London. What is monkeypox? PHE and NHS officials said they had been implementing ""rapid infection control procedures"" and contacting passengers who travelled in close proximity to the patient on the same flight to the UK. ""We are following up with those who have had close contact with the patient to offer advice and to monitor them as necessary,"" said Dr Meera Chand, consultant microbiologist at PHE. PHE says the infection is usually a self-limiting illness and most people recover within a few weeks, however severe illness can occur in some individuals. The infection does not spread easily between people and the risk to the general public in England is very low. This is not the first time the virus has been detected in the UK. The first reported cases in the UK were in September 2018. The first patient to be diagnosed with monkeypox in the UK had been staying at a naval base in Cornwall. PHE said the south west region referred to Gloucestershire, Wiltshire, Bristol, Dorset, Somerset, Devon and Cornwall.",['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],['A man has been diagnosed with monkeypox in the UK after travelling to the UK from Nigeria.'],0.5294117647058824,0.3125,0.47058823529411764,0.47058823529411764,45.88949760701196
"By Chris JohnstonBusiness reporter The rise in prices will ""accelerate rapidly"" during 2017 as the fall in sterling is passed on to consumers, according to the National Institute for Economic and Social Research (NIESR). The revised figure is sharply higher than the 3% it forecast in August. The economy also faces ""significant risks"" that could restrict growth. ""Households have really got a choice. Do they spend less or do they start saving less?"" Dr Angus Armstrong, director of macroeconomics at NIESR, told the BBC's Today programme. He said given the savings ratio was at its lowest level since 2008, ""the most likely scenario is that they spend much less, hence the weaker [growth] forecast for next year."" Consumer Price Index (CPI) inflation rose to 1% in September, up from 0.6% in August, the Office for National Statistics (ONS) said last month. That was the highest rate for nearly two years as the cost of clothes, petrol and hotel rooms increased. Inflation means inflation, but who wins? Q&A: Inflation explained The Bank of England is expected to raise its forecasts for inflation in its quarterly Inflation Report on Thursday. The pound has fallen sharply against the dollar and euro since the Brexit vote and NIESR expected sterling to remain at about $1.22 and €1.11 both this year and next. You might also like When should you start your Christmas shopping? Mystery of village's Chinese tourists solved Why are 1.4m 'checking in' to Standing Rock? Recent price increases blamed on falling pound The cost of a cuppa: Typhoo tea, which imports all its tea leaves, said the sharp fall in the pound meant it had no choice but to increase prices Marmite and Pot Noodles: Food manufacturer Unilever says the pound's drop forced it to raise the wholesale price of these and many of its other products, which some supermarkets have passed on to customers Wine: Online wine retailer Naked Wines said it would raise the cost of its wine by 5% from November because of increasing import costs linked to sterling Rising prices for clothes, hotel rooms and petrol drove the official rate of inflation to 1% in September, its highest level for almost two years Model trains: Hornby and Dapol have both said they've increased prices between 10 and 20% due to the higher cost of imports Apple has increased the prices of its laptop and desktop computers in the UK by hundreds of pounds citing currency fluctuations as one of the reasons Microsoft said some of its UK business service prices would go up by 22% in 2017, reflecting the pound's weakened value against the euro 'Hefty price rises' Simon Kirby, head of macroeconomic modelling and forecasting at NIESR, said the fall in sterling had been the most striking feature of the economic landscape since the EU referendum. ""This will pass through into consumer prices over the coming months and quarters,"" he said. ""While we expect this to be only a temporary phenomenon, it will nonetheless weigh on the purchasing power of consumers over the next couple of years."" The last time CPI inflation hit 4% was in 2011, before falling back over the last five years. Samuel Tombs, chief UK economist at Pantheon Macroeconomics, said: ""NIESR is right to warn that households are about to endure a renewed period of falling living standards due to soaring inflation. ""Fuel, food and technology prices already are rising in response to the weaker pound, and hefty price rises will be seen across the whole spectrum of consumer goods next year."" Although the Bank of England's Monetary Policy Committee (MPC) is not likely to raise interest rates in response, according to Mr Tombs, he said that the fall in sterling meant the MPC had little room to manoeuvre. NIESR predicted that the economy would expand by 2% in 2016 - higher than its previous forecast of 1.7% - but would fall to just 1.4% growth next year. ""Rather than a significant change to our view of the future, this is largely due to revisions to historic data,"" it said. 'Heightened uncertainties' Howard Archer, chief UK economist at IHS Markit, said inflation hitting 4% would result in ""a major squeeze on consumer purchasing power"". That could then make GDP growth of 1.4% in 2017 ""hard to achieve given the likely heightened uncertainties"" once the UK starts Brexit negotiations, he said. Lower growth along with uncertainty could affect hiring by companies, NIESR warned. It expected unemployment to peak at 5.6% next year, before gradually falling. The think tank also predicted that inflation would only return to the Bank of England's target of 2% in 2020. NIESR is the UK's oldest independent economic research body and was founded in 1938.","['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']",['The Bank of England is raising its inflation forecast for the second year in a row.'],0.4,0.052631578947368425,0.25,0.25,28.148352011675538
"It's the first time a rap song has won both categories - although Gambino did not attend or perform at the event. He was the first artist to be absent from collecting one of the ""big four"" Grammys since Amy Winehouse in 2008. Gambino - aka actor Donald Glover - beat competition from Drake, Lady Gaga and Bradley Cooper in both categories. Kendrick Lamar and SZA's All The Stars, Brandi Carlile's The Joke and The Middle by Zedd, Maren Morris and Grey were also up for both awards. This Is America, which was accompanied by a symbolic music video, sparked debate when it was released in May. It looked at the representation of black people in America and the prejudices they faced. While record of the year recognises everyone involved in a song, including the artist, producers and engineers, song of the year is awarded to the writer. This Is America co-writer Ludwig Goransson collected the awards on Gambino's behalf. He said he did not know why Gambino had declined to attend but explained how important recognising rap and hip-hop artists at the Grammys was. ""I think if you listen to the radio or if you just watch our culture, if you look at the most downloaded, streamed artists... you see what people are getting inspired by,"" said Goransson backstage. ""It's about time that something like this happened with the Grammys. They're getting the same kind of senses as the people."" In addition to song of the year and record of the year, This Is America won awards for best music video and best rap/sung collaboration. Rapper 21 Savage, one of the collaborators on the track, was unable to attend the ceremony because he is being detained by US officials over an expired visa. The British-born, Atlanta-based performer was also nominated for two awards in his own right. Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk.",['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],['Drake and Childish Gambino have been nominated for best rap song and best rap duo at the Grammys.'],0.3157894736842105,0.1111111111111111,0.2631578947368421,0.2631578947368421,34.76868648763663
"A black Volkswagen Transporter was in collision with a cyclist on the A4109 at Banwen at 21:15 BST on Saturday. South Wales Police said the rider was declared dead at scene and shut the Inter-valley road between Banwen and Glyneath for five hours to investigate. Officers have appealed for witnesses or ""anyone who witnessed the manner of driving of the pedal cycle or vehicle prior to the collision"".",['A cyclist has died in a crash with a van in Neath Port Talbot.'],['A cyclist has been killed after being hit by a car on the Welsh Highways.'],0.2758620689655172,0.14814814814814817,0.2758620689655172,0.2758620689655172,29.233948322354475
"By Eleanor Gruffydd-JonesBBC Politics Wales AM Angela Burns and the charity UK Sepsis Trust said help for survivors was non-existent. They want patients to be given more information when they are discharged and follow-up help with their recovery. More than 10,000 people get sepsis each year in Wales and about 2,000 of them die, the charity said. People get sepsis when the body attacks itself in response to an infection. Many recover within 18 months, but some suffer serious long-term physical and psychological problems - associated with what is known as ""post-sepsis syndrome"". The UK Sepsis Trust says these include post-traumatic stress disorder (PTSD), anxiety, depression, insomnia, poor mobility, fatigue and muscle wasting. Mrs Burns, who speaks on health matters for the Conservatives in the Welsh Assembly, contracted sepsis when she had pneumonia. After being discharged, she said she there was no help for the psychological effects. ""You are very alone. I didn't have any support, I didn't understand, what was going on, and I had never really in my life suffered depression, so that was a new thing for me. ""I know sepsis survivors who have woken up and had their limbs amputated. ""It's like being in a massive road traffic accident where your entire life was turned completely upside-down,"" she said. Mrs Burns said her GP was not told she'd had sepsis, and she needed counselling. ""It was just a rollercoaster ride - I was blindfolded and I had no idea,"" she said. Mrs Burns still has memory loss, fatigue and lower immunity. Terence Canning, from the UK Sepsis Trust, said NHS support for sepsis survivors across Wales ""isn't existent"". ""I think because sepsis is relatively new in terms of health care. It certainly doesn't have the aftercare that, say heart attacks, strokes, cancer would have. It just isn't there for them,"" he said. ""I think early follow-up appointments would be really useful or basic signposting on discharge, even to a charity like Sepsis Trust or support groups, so people can access support early."" Mrs Burns wants patients to be given information packs and GPs to be notified. 'You leave hospital after having sepsis and you get nothing' Cardiff dad Chris Toozer, 45, contracted sepsis twice after stomach and bowel surgery in 2016 and 2017. ""I had PTSD, severe anxiety, weight loss, lots of vitamin deficiencies, and other problems,"" he said. ""Out of desperation I Googled it and found the Sepsis Trust website and I spoke to the nurses there. ""It was the first time in months that I thought, it isn't me feeling thinking all this, this is actually real. ""I started going to the support group meetings then and that's when I found out about post-sepsis syndrome. ""You leave hospital after having sepsis and you get nothing."" The Welsh Government said: ""We are supporting the development of the sepsis registry - led by Public Health Wales in collaboration with all health boards - which focuses on long-term outcomes for people who have had sepsis. ""The first phase of this work will be completed this summer.""","['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']",['A Welsh MP has called for more support for people with sepsis who have been discharged from hospital with the condition.'],0.3636363636363636,0.0,0.1818181818181818,0.1818181818181818,25.828692580198005
"Youngsters on a Halloween insect hunt found the bug at Craig Gwladus Country Park, near Cilfrew, on 30 October. It has since been identified as the Turdulisoma cf turdulorum millipede, so rare it is only the third known site where it has been found. The first was Aberkenfig, Bridgend, in 2017, by local expert Christian Owen. It was subsequently confirmed as a new species by Dr Jörg Spelda at the Bavarian State Collection of Zoology in Germany. All findings have been in south Wales, with the Craig Gwladus discovery uncovered among leaf litter and under old wood along the former Gelliau Colliery Tramroad at the park. Liam Olds, from conservation group Buglife Cymru, said sites associated with Wales' coalmining heritage were ""very important places for rare and scarce animal and plant species, especially invertebrates"". He added: ""Discoveries such as this highlight the importance of such sites and why they need to be conserved. ""As the species is new to science, we know nothing about it. ""It could be a native species that has been previously overlooked because so few people record invertebrates in south Wales, or it could have been an introduced species from abroad."" Mr Olds said scientists would probably never know for certain.","['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']",['A rare invertebrate found in Wales has been identified as a new species.'],0.43243243243243246,0.11428571428571427,0.21621621621621623,0.21621621621621623,24.402190593488605
"The family said they could not have afforded a QC themselves after the Legal Aid Agency decided the case ""was not in the public interest"". Seven-year-old Zane Gbangbola died at his home next to the Thames in Chertsey, Surrey on 8 February 2014. The coroner is to deliver his verdict on 6 or 7 September. Over five weeks, the inquest heard detailed scientific evidence about what gas may have killed the boy. A post-mortem examination suggested it could have been carbon monoxide fumes from a petrol-driven pump used to clear floodwater from the premises. But the hearing was told the amount of carbon monoxide in his blood was significantly lower than fatal. Zane's parents believe he was killed by hydrogen cyanide in floodwater polluted by a former landfill site to the rear of their home. The family's campaign managed to raise £70,000 to hire a lawyer, including £25,000 from an anonymous supporter. Zane's mother Nicole Lawler said: ""We could not have done it on our own. There is absolutely no way we could have represented ourselves. And without the funding the public put together to help us get a QC, we really did not stand a chance."" Her partner Kye Gbangbola said it was important there was ""parity of arms"". ""There were six QCs against us in an incredibly complex case,"" he said. Surrey Coroner Richard Travers retired to consider his verdict on Monday.",['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],['A coroner has ruled that the death of a seven-year-old boy was caused by hydrogen cyanide.'],0.21739130434782608,0.04545454545454545,0.17391304347826086,0.17391304347826086,17.025313133316537
