,target,candidate,rouge1,rouge2,rougeL,rougeLs,chrf
0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['In a statement, the White House said more than 5.6 million fingerprint records were stolen from the Office of Personnel Management (OPM). An initial investigation suggested only 1.1 million were lost. The OPM acts as the personnel office for the US government and keeps records on 21.5 million federal staff. Identity risk A OPM attack was uncovered in April this year and saw attackers make off with ID and security clearance information about US government staff. Social security numbers, names, addresses, health, financial and biometric data were all taken. Fingerprint records were also stolen and the continuing investigation into the breach has revealed that far more went missing than initially thought. The White House played down the significance of the fingerprint theft saying that the ability to abuse the data was ""currently limited"". However, it acknowledged that the risk could rise as technology improved and fingerprints were increasingly used as a guarantee of identity. ""An inter-agency working group with expertise in this area ... will review the potential ways adversaries could misuse fingerprint data now and in the future,"" it said in a statement. The FBI, Pentagon and Department of Homeland Security are all part of the task force assessing how losing fingerprint data might affect victims. The Office said it would soon start a massive project to inform']",0.07531380753138076,0.02531645569620253,0.05857740585774058,0.05857740585774058,19.887568941822725
1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['Fourteen fire engines were sent to tackle the blaze, which affected a row of buildings on The Esplanade, in the early hours of Sunday. West Sussex fire service said some of the properties were derelict and the buildings were completely destroyed. Emergency teams were at the scene throughout Sunday and inspections by firefighters were due to continue throughout the night. Residents were evacuated to a leisure centre as crews faced ""difficult storm conditions"", the fire service. Sussex Police said the fire broke out at Beach Restaurant and affected derelict buildings next to it. A police spokesman said a gas supply caught fire and had kept the flames going, but emphasised emergency teams were not dealing with a gas mains explosion. About 30 residents were evacuated from flats close to the fire when crews were called just before 04:00 GMT. Fifty firefighters were involved in tackling the blaze at its height. Lead officer Adrian Murphy said: ""This incident has taken place in the midst of a major storm and it was difficult to stand when we arrived on the seafront. ""Our key priority now is to work with the displaced residents to get them safely home as soon as possible."" One person was treated for smoke inhalation but no other injuries were reported. A spokesman for Sussex Fire and Rescue Service said the']",0.05106382978723405,0.008583690987124463,0.03404255319148936,0.03404255319148936,9.94039713394102
2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],"['The 240-turbine Atlantic Array would be double the size of any windfarm currently operating in Britain. The EC confirmed it is taking up the matter with the UK Government due to the ""failure to propose protection sites for the harbour porpoise"". A Defra spokesperson they were working to identify further sites. A letter from Gunter Raad, acting head of environment directorate of the European Commission, said they had received a ""wide-ranging complaint"". ""As a result of our investigations we have now decided to follow this matter up with infringement action,"" the statement said. Mr Raad said the EC was now waiting for a reply from the relevant UK authorities. \'Extensive survey\' The EC raised their concerns following a World Wildlife Fund (WWF) report into the delay to designate sites as Special Areas of Conservation, which identifies six possible sites around the UK for the protection of harbour porpise. The EU warned that the delay has meant that potentially damaging activities are being allowed to progress, potentially without sufficient regard to the needs for the protected of the species. Developer RWE npower said in a statement: ""We have carried out extensive ecological survey work, site investigations and consultation. ""The results and findings have helped shape the development of']",0.08733624454148471,0.01762114537444934,0.0611353711790393,0.0611353711790393,20.258648821278037
3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],"['It is believed the patient contracted the infection while visiting Nigeria, Public Health England (PHE) said. According to the World Health Organisation, the condition is similar to human smallpox and although it is much milder, it can be fatal. The patient has been transferred to a specialist infectious disease centre at Guy\'s and St Thomas\' in London. What is monkeypox? PHE and NHS officials said they had been implementing ""rapid infection control procedures"" and contacting passengers who travelled in close proximity to the patient on the same flight to the UK. ""We are following up with those who have had close contact with the patient to offer advice and to monitor them as necessary,"" said Dr Meera Chand, consultant microbiologist at PHE. PHE says the infection is usually a self-limiting illness and most people recover within a few weeks, however severe illness can occur in some individuals. The infection does not spread easily between people and the risk to the general public in England is very low. This is not the first time the virus has been detected in the UK, with the first reported cases in the US in September 2018. The first patient to be diagnosed with monkeypox in Britain had been staying at a naval base in Cornwall.PHE said the']",0.10300429184549355,0.051948051948051945,0.07725321888412016,0.07725321888412016,20.6032236280654
4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['By Chris JohnstonBusiness reporter The rise in prices will ""accelerate rapidly"" during 2017 as the fall in sterling is passed on to consumers, according to the National Institute for Economic and Social Research (NIESR). The revised figure is sharply higher than the 3% it forecast in August. The economy also faces ""significant risks"" that could restrict growth. ""Households have really got a choice. Do they spend less or do they start saving less?"" Dr Angus Armstrong, director of macroeconomics at NIESR, told the BBC\'s Today programme. He said given the savings ratio was at its lowest level since 2008, ""the most likely scenario is that they spend much less, hence the weaker [growth] forecast for next year."" Consumer Price Index (CPI) inflation rose to 1% in September, up from 0.6% in August, the Office for National Statistics (ONS) said last month. That was the highest rate for nearly two years as the cost of clothes, petrol and hotel rooms increased. Inflation means inflation, but who wins? Q&A: Inflation explained The Bank of England is expected to raise its forecasts for inflation in its quarterly Inflation Report on Thursday. The pound has fallen sharply against the dollar']",0.10762331838565022,0.00904977375565611,0.08968609865470853,0.08968609865470853,16.86970762347537
5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"['It\'s the first time a rap song has won both categories - although Gambino did not attend or perform at the event. He was the first artist to be absent from collecting one of the ""big four"" Grammys since Amy Winehouse in 2008. Gambino - aka actor Donald Glover - beat competition from Drake, Lady Gaga and Bradley Cooper in both categories. Kendrick Lamar and SZA\'s All The Stars, Brandi Carlile\'s The Joke and The Middle by Zedd, Maren Morris and Grey were also up for both awards. This Is America, which was accompanied by a symbolic music video, sparked debate when it was released in May. It looked at the representation of black people in America and the prejudices they faced. While record of the year recognises everyone involved in a song, including the artist, producers and engineers, song of the years is awarded to the writer. This is America co-writer Ludwig Goransson collected the awards on Gambino\'s behalf. He said he did not know why Gambino had declined to attend but explained how important recognising rap and hip-hop artists at the Grammys was. ""I think if you listen to the radio or if you just watch our culture, if you look at the most downloaded,']",0.13043478260869565,0.043859649122807015,0.09565217391304348,0.09565217391304348,20.138001649167872
6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],"['A black Volkswagen Transporter was in collision with a cyclist on the A4109 at Banwen at 21:15 BST on Saturday. South Wales Police said the rider was declared dead at scene and shut the Inter-valley road between Banwen and Glyneath for five hours to investigate. Officers have appealed for witnesses or ""anyone who witnessed the manner of driving of the pedal cycle or vehicle prior to the collision"".']",0.11904761904761904,0.04878048780487805,0.09523809523809522,0.09523809523809522,16.986859994704936
7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']","['By Eleanor Gruffydd-JonesBBC Politics Wales AM Angela Burns and the charity UK Sepsis Trust said help for survivors was non-existent. They want patients to be given more information when they are discharged and follow-up help with their recovery. More than 10,000 people get sepsis each year in Wales and about 2,000 of them die, the charity said. People get Sepsis when the body attacks itself in response to an infection. Many recover within 18 months, but some suffer serious long-term physical and psychological problems - associated with what is known as ""post-sepsis syndrome"". The UK Sepses Trust says these include post-traumatic stress disorder (PTSD), anxiety, depression, insomnia, poor mobility, fatigue and muscle wasting. Mrs Burns, who speaks on health matters for the Conservatives in the Welsh Assembly, contracted sepsic when she had pneumonia. After being discharged, she said she there was no help for the psychological effects. ""You are very alone. I didn\'t have any support, I had no idea, what was going on, and I had never really in my life suffered depression, so that was a new thing for me. ""I don\'t know if I\'ve ever been in']",0.10762331838565022,0.009049773755656108,0.05381165919282511,0.05381165919282511,19.079557679300397
8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['Youngsters on a Halloween insect hunt found the bug at Craig Gwladus Country Park, near Cilfrew, on 30 October. It has since been identified as the Turdulisoma cf turdulorum millipede, so rare it is only the third known site where it has been found. The first was Aberkenfig, Bridgend, in 2017, by local expert Christian Owen. It was subsequently confirmed as a new species by Dr Jörg Spelda at the Bavarian State Collection of Zoology in Germany. All findings have been in south Wales, with the Craigwladus discovery uncovered among leaf litter and under old wood along the former Gelliau Colliery Tramroad at the park. Liam Olds, from conservation group Buglife Cymru, said sites associated with Wales\' coalmining heritage were ""very important places for rare and scarce animal and plant species, especially invertebrates"". He added: ""Discoveries such as this highlight the importance of such sites and why they need to be conserved. ""As the species is new to science, we know nothing about it. ""It could be a native species that has been previously overlooked because so few people know about it, or it could']",0.1523809523809524,0.08653846153846155,0.1142857142857143,0.1142857142857143,19.181046005719452
9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['The family said they could not have afforded a QC themselves after the Legal Aid Agency decided the case ""was not in the public interest"". Seven-year-old Zane Gbangbola died at his home next to the Thames in Chertsey, Surrey on 8 February 2014. The coroner is to deliver his verdict on 6 or 7 September. Over five weeks, the inquest heard detailed scientific evidence about what gas may have killed the boy. A post-mortem examination suggested it could have been carbon monoxide fumes from a petrol-driven pump used to clear floodwater from the premises. But the hearing was told the amount of carbon monoxy in his blood was significantly lower than fatal. Zane\'s parents believe he was killed by hydrogen cyanide in floodwater polluted by a former landfill site to the rear of their home. The family\'s campaign managed to raise £70,000 to hire a lawyer, including £25,000 from an anonymous supporter.Zane\'s mother Nicole Lawler said: ""We could not (do it) on our own. There is absolutely no way we could have represented ourselves. And without the funding the public put together to help us get a QC, we really did not stand a chance."" Her partner Kye Gbang']",0.14345991561181434,0.02553191489361702,0.08438818565400845,0.08438818565400845,21.693702769601604
10,['A new memorial has been unveiled to remember freeminers who died in mining accidents in the Forest of Dean.'],"['The 7ft (2.13m) monument made of steel and stone stands next to Pan Tod beacon on Ruardean Hill, Gloucestershire and records the names of 50 men. It has been built by ex-miner Ernie Hughes whose father Leslie died at the Northern United colliery in Cinderford in 1951, aged 45. Mr Hughes said he had wanted to set up the memorial ""all his life"". He said: ""We wanted to put up the monument so everybody would have a record of what went on in the mines."" The former leader of the House of Lords Baroness Royall, who lives in nearby Blaisdon, helped Mr Hughes with the unveiling of the memorial. She said: “It\'s sad because its a memorial to people who died, but it\'s a great celebration of our traditions and heritage in the Forest of Dean. ""It\'s a monument to a man who died in a mining accident, and it\'s also a tribute to the people who worked in the forest. ""We have a rich history of mining and we have a wealth of people who have worked in our mines. We have a great history of our mines and we are proud to be part of it."" Freeminer is the ancient']",0.12334801762114538,0.06222222222222222,0.09691629955947136,0.09691629955947136,25.61734251282054
11,"[""A review aimed at modernising Alderney's financial relationship with Guernsey is due to take a year.""]","['It follows concerns over the way public services in Alderney will be funded in the future. The review involves measuring all the islands\' public costs and revenue, including Guernsey States-owned airline Aurigny and the island\'s public transport system, which is owned by the Government of the Isle of Wight and the French state of Montpellier and Montigny. Guernseys\'s Deputy Chief Minister Allister Langlois said there was ""a great deal of work to do"". He said initial work would involve gathering primary financial data, ""much of which has not been available to date"". ""Given the significant challenges facing Alderneys at this time, this review has never been more timely or more important,"" he added. It is not clear at present how much is spent on services and how much government revenue is generated. Guerssey States is responsible for making decisions about a number of services, including health, criminal legislation and policing. Two members of the States of Alderland represent the island in Guernice\'s parliament. The current arrangements stem from the 1948 agreement, which was drawn up after a large population drop blamed on World War Two. It was suggested by the UK Home Office in a bid to solve economic problems caused drop in']",0.08928571428571429,0.0,0.044642857142857144,0.044642857142857144,15.924085516978334
12,"['Across the African continent, internet penetration is low, computers are often too expensive to purchase, and online business transactions can be logistically complicated to execute.']","[""By Meredith BakerBBC News, Johannesburg But the surge in mobile phone use - there are currently 695 million mobile phone subscribers in Africa - has given Africans a simple and pervasive means of sharing information and conducting business. In recent years, a few innovative African companies have found ways to harness the e-potential of mobile commerce and information sharing, changing the way in which Africans communicate and conduct business. SlimTrader, founded by Nigerian-American Femi Akinde, is an e-commerce firm that is meant to ease the exchange of goods and widen the online markets for Africans. He founded Mobiashara, a mobile technology that allows users to search for and purchase products via text message. This technology provides retailer's information and inventory, and also partners with mobile payment providers such as M-PESA and MTN so that someone can make a purchase with a press of a button on their mobile device. With partners such as Aero Airlines, Slimtrader even facilitates once-in-a-lifetime transactions such as buying plane tickets. In addition to its mobile technology, Slim Trader also offers a variety of other products and services, such as online shopping, and has partnered with a number of other African companies to provide a range of products and""]",0.10256410256410257,0.0,0.06837606837606838,0.06837606837606838,22.844420055211053
