text,summary
"By Helen BushbyBBC Entertainment and Arts reporter Director Sir Nicholas Hytner praised the figures but added that cuts to funding were ""neglecting the arts"". One Man, Two Guvnors, starring James Corden, was the most successful National Theatre Live play to date, seen by 54,000 people in cinemas. War Horse is still selling out and has been seen by 2.4m people worldwide. Sir Nicholas described recent government arts cuts as ""a kind of madness, a kind of mania"" given the ""amount of joy spread by the Cultural Olympiad"" and London Festival 2012 - a series of national arts events which ran alongside the Olympics. ""You would hope government policy would be to find ways of capitalising on that for the arts and sport,"" he said at the launch of the theatre's annual report in London. ""There is visible evidence that investment in cultural and sport events brings in its wake confidence and the desire to spend - that case has been made in a spectacular fashion this summer."" He added that it was ""impossible to say the minuscule savings made by arts cuts are worth it"" . Regional theatres face a ""clear and present danger"" from funding cuts, he said. He was also keen to stress that this year's financial figures dated only to 31 March and did not cover the period during the Olympics. He said ""this summer was kind of spectacular"" and that the National Theatre had played to ""100% audiences right through the Olympics"". The ""only dip"" in box office during the Games was for One Man, Two Guvnors at London's Haymarket Theatre Royal in the first week of the Olympics and figures had gone up again immediately afterwards. The director said he had been ""disconcerted"" by ""people saying it would be doom or disaster"" for London theatres during the Olympics"" and that it had been a ""really great"" year. The theatre's successes also include a stage adaptation of Mark Haddon's book The Curious Incident of the Dog in the Night-Time, which is currently playing to positive reviews. Hytner said it could had ""potential for longer life"". But he said current box office success only meant the theatre would be ""OK short-term"" and that it would be ""a bad idea to have it that long-term we should earn what we're currently earning from commercial transfers"". One Man, Two Guvnors is currently playing in Broadway and its lead actor, James Corden, won a best actor Tony award in June. War Horse has won five Tony awards and is also running in Toronto, Canada and is on a north American tour. New productions will open in Australia and Berlin in the coming year, while in autumn 2013 it will go on a 10-month tour to eight UK cities and Dublin. It was also made into a film by Steven Spielberg. Sir Nicholas said: ""It is essential that our funding level is restored to what it was before the cuts."" The Department for Culture, Media and Sport told the BBC: ""Protecting arts funding while cutting public spending in other areas is simply not an option, although the reductions we have made are very modest. ""Over the life of this Parliament, the government is investing £2.3bn in the arts. We have also reformed the National Lottery, increasing the share to the arts, so the Arts Council's overall budget in 2015 will be reduced by less than 5% in real terms, compared to 2010."" It added that the London 2012 Festival was ""fully supported by government and backed by a significant amount of public funding"". The theatre's report also stated that the development department raised £7.4m in annual income, its highest totals from individuals and corporate support. And it added 4,000 young people from 300 schools and youth theatres took part in NT Learning's nationwide youth programme, Connections.","The National Theatre has reported record yearly takings of £80m, more than double those of 10 years ago and nearly £10m more than last year."
"Damien Chazelle's movie is up for best musical or comedy film, while there are acting nominations for its stars Emma Stone and Ryan Gosling. Chazelle is up for best film director and it is also nominated for original screenplay, score and song. Coming-of-age drama Moonlight is close behind with six nominations, including best drama film. British actress Naomie Harris is up for best supporting actress for her role as a drug addict in the film. Manchester by the Sea, about a caretaker who finds himself taking in his teenage nephew, has five nods - best drama film, original screenplay, director for Kenneth Lonergan, actor for Casey Affleck and supporting actress for Michelle Williams. The other best drama actor nominees are Joel Edgerton for Loving, Andrew Garfield for Hacksaw Ridge, Viggo Mortensen for Captain Fantastic and Denzel Washington for Fences. Natalie Portman is favourite for the best drama actress award for playing Jacqueline Kennedy in the biopic Jackie. She will face competition from Arrival's Amy Adams, Jessica Chastain for Miss Sloane, Isabelle Huppert for Elle and Ruth Negga for Loving. World War II biopic Hacksaw Ridge, Texan family drama Hell or High Water and Indian/Australian coming-of-age movie Lion are also up for best drama film. BBC series The Night Manager has fared well in the TV categories, with nods for its British stars Olivia Colman, Tom Hiddleston and Hugh Laurie. It is also up for best limited series. Analysis - Lizo Mzimba, BBC entertainment correspondent The Golden Globe nominations contained few real surprises and in many ways have confirmed, rather than changed the direction of this year's film awards race, which will culminate with the Oscars in February. Since it opened the Venice Film Festival in August, La La Land has been seen as the frontrunner for best film and best director at the Academy Awards, with its main rivals remaining Moonlight and Manchester by the Sea. Although the Golden Globes offers twice as many lead acting categories as the Baftas or the Oscars, today has done little to change the perception that Casey Affleck (Manchester by the Sea) and Emma Stone (La La Land) remain the favourites for the best actor and best actress Academy Awards. Perhaps most notable is the performance of Moonlight, with just one nomination fewer than La La Land. The Miami-set story of a young black man dealing with his sexuality now looks like the leading film to help end the race controversy of the last two years, with Mahershala Ali heavily tipped to win best supporting actor. And while Fences performed less strongly overall, Viola Davis is also thought likely to win best supporting actress. A welcome sign that after two years of #OscarsSoWhite, next year's Academy Awards nominations are likely to be more diverse - and on top of that the favourites to win in two of the acting categories are black. Olivia Colman faces fellow Brit Thandie Newton (Westworld) for best supporting actress in a limited TV series, as well as Game of Thrones star Lena Heady plus Chrissy Metz and Mandy Moore, who are both recognised for family comedy drama This Is Us. The Night Of's British star Riz Ahmed is nominated alongside Hiddleston for best actor in a limited TV series. They are up against Bryan Cranston for All the Way, John Turturro for for The Night Of and Courtney B Vance for American Crime Story: OJ Simpson v The People. American Crime Story: OJ Simpson v The People is also recognised, with acting nominations for John Travolta, Sterling K Brown and Sarah Paulson alongside Vance. The drama is also up for best limited series. In the movie categories, Disney's Zootopia and Moana are among those up for best animated feature film, alongside Kubo and the Strings, My Life as A Zucchini and Sing. Florence Foster Jenkins, based on the true story of a New York heiress who dreams of being an opera star, has four nominations, including a 30th Golden Globe nod for Meryl Streep and one for Hugh Grant. It is also up for best comedy or musical film alongside La La Land, 20th Century Woman, Deadpool and Irish film Sing Street, which was written and directed by Once film-maker John Carney. Other actors recognised in the musical/comedy category include Colin Farrell (The Lobster), Jonah Hill (War Dogs) and Ryan Reynolds (Deadpool). Alongside La La Land's Stone and Streep in best actress in a musical or comedy film category are Lily Collins (Rules Don't Apply), Hailee Steinfeld (The Edge of Seventeen) and Annette Bening (20th Century Women). Sully, starring Tom Hanks, was a notable omission from the list, as was with Martin Scorsese's Silence. The Golden Globes will be handed out in Los Angeles on 8 January at a ceremony hosted by Jimmy Fallon. Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk.","Musical film La La Land leads the pack in this year's Golden Globe nominations, with seven nods in total."
"By Tim MastersArts and entertainment correspondent, BBC News The judges described it as ""a truly outstanding museum with a bold artistic vision"". The park, situated in the grounds of Bretton Hall in Wakefield, was first opened to the public in 1977. Picking up the £100,000 prize, founder Peter Murray said: ""We've tried so hard to develop something which is unique not just in this country but also in Europe and beyond. ""This award makes us feel we are moving in the right direction."" The park has held exhibitions for the likes of Eduardo Paolozzi, Lynne Chadwick and Ai Weiwei. Its collection of works by Henry Moore is one of the largest open-air displays of his bronzes in Europe. The museum of the year shortlist included the Hayward Gallery and the Tate Britain in London and the Ditchling Museum of Art in East Sussex. The winner was announced by theatre and film director Sam Mendes at the National Gallery in London on Wednesday night. Yorkshire Sculpture Park Yorkshire Sculpture Park opened in the grounds of Bretton Hall College near Wakefield in 1977. The 500 acres of parkland and gardens are home to sculptures by Henry Moore, Barbara Hepworth and Anthony Caro, while the venue also has several indoor galleries. It has won praise in recent years for major exhibitions by artists including Joan Miro, Jaume Plensa and Yinka Shonibare. Shonibare, who exhibited there last year, recently nominated it as his favourite exhibition space, saying it was ""one of the only spaces in the country where you can properly show things both indoors and outdoors"". In May, Chinese artist Ai Weiwei opened his first UK public exhibition in four years at the venue. His works are being shown in and around an 18th Century chapel, which has recently had a £500,000 refurbishment. It is home to Arts Council England's sculpture collection. Founder Peter Murray was awarded an OBE in 1996 and a CBE in 2010. Fans include Monty Python's Michael Palin and rapper Dizzee Rascal, who visited the venue while on tour. In 2011, he named it as one of the places that inspired him the most, saying the sculptures were ""like nothing I'd ever seen before"", adding: ""The contrast between the natural surroundings and contemporary structures is stunning."" ""A perfect fusion of art and landscape, the Yorkshire Sculpture Park has gone from modest beginning to one of the finest outdoor museums one might ever imagine,"" said Art Fund director Stephen Deuchar, chair of the judges. ""In 2013 it really came of age - with art projects such as Yinka Shonibare's extraordinary exhibition; the fruits of the expansion and consolidation of the landscape on both sides of the lake; and with the conversion of the chapel to house (as its inaugural exhibition) a major new work by Ai Weiwei."" Skyfall director Mendes said: ""The dedication, love, and unbelievable creativity of the six candidates for the Art Fund prize for museum of the year are clear for all to see, as is the creative health of the UK museum community as a whole. ""Financial health is a different matter, however - and in that respect this award is a crucially important boost to one deserving organisation."" Murray, who still serves as Yorkshire Sculpture Park's executive director, told the BBC after his win: ""We started with £1,000 and no staff. I did sense that we were onto something in 1977 because the landscape is very special."" He added: ""We want to use the money to continue to support young artists and provide open access to the park."" The other shortlisted museums: Ditchling Museum of Art and Craft: Ditchling became a hub of creativity after sculptor Eric Gill moved there in 1907, followed by other artists and craftspeople. Two local sisters opened a museum in 1985 and a £2.3m revamp put it on the national map last year. Hayward Gallery: The judges said the Hayward had an ""exceptional year"" thanks to exhibitions like Light Show and Alternative Guide to the Universe at its South Bank home, plus touring exhibitions by Turner Prize winners Jeremy Deller and Mark Leckey. Mary Rose Museum: This £35m museum was built to house the remains of the Mary Rose, a warship launched by Henry VIII in 1511. The judges said the museum ""demonstrates excellence, innovation and imagination in the presentation of a truly unique artefact"". Sainsbury Centre for Visual Arts: Part of the University of East Anglia, this venue expanded last year with new facilities designed by its original architect Norman Foster. It doubled its annual visitor numbers in 2013. Tate Britain: 116 years after it opened, the oldest parts of Tate Britain have undergone a £45m refurbishment, while its collection has had a major rehang to arrange the paintings in chronological order. There has, however, been criticism of its director Penelope Curtis.",The open-air Yorkshire Sculpture Park has been named the museum of the year.
"Simon Day, who has previously appeared in The Fast Show, plays Garnett in the show, which is part of the Lost Sitcoms series. The character was originally portrayed by Warren Mitchell, who died in November.. Steptoe and Son and Hancock's Half Hour are also being revived. The BBC is re-shooting episodes of post-war sitcoms of which no recordings survive, as they are missing from its archives. The special episodes are being recreated by a new cast using the original scripts in front of a studio audience. The Lost Sitcoms series will air later in the year to mark 60 years since Hancock's Half Hour first appeared on BBC TV. Follow us on Twitter @BBCNewsEnts, on Instagram, or email entertainment.news@bbc.co.uk.",Alf Garnett has lost his signature moustache but kept his round glasses in the first cast photo of the Till Death Us Do Part remake.
"The target applies to all home-grown programmes on Sky 1, Sky Atlantic, Sky Living and Sky Arts. The broadcaster said it means 20% of ""significant roles"" will go to actors with an ethnic minority background. Sky said the target is in excess of the 14% of the British population from minority groups. ""Sky is dedicated to making programmes that feel representative of every one of the millions of viewers that watch our content every day, whatever their colour,"" said Sky's Director of Entertainment, Stuart Murphy. ""Our aim is to kick start a sea change in the on screen representation of ethnic minorities on British television."" 'New talent' The broadcaster also said all its original programmes will have someone with a black, Asian or minority ethnic (BAME) background in at least one senior production role. The aim, it said, is to provide ""more opportunities for people with BAME backgrounds to reach senior positions within the production community"". Sky added it ""will work closely with companies from the independent production sector to seek out and nurture new talent"". The move follows a BBC initiative in June that saw the corporation pledge to increase the number of BAME people on air by more than 40% over the next three years. The BBC also announced a ring fenced £2.1m development fund to help fast-track BAME talent and programme ideas on to the screen.","The broadcaster, Sky, has pledged that 20% of the writers and actors for its UK-commissioned TV shows will come from ethnic minorities by 2016."
"Will GompertzArts editor@WillGompertzBBCon Twitter The National Gallery in London has more than its fair share of good curators, not least Gabriele Finaldi, the institution's boss. He is a specialist in Renaissance and Baroque art with an international reputation, which must be an additional pressure if you happen to be a rank-and-file National Gallery curator putting on a show of Renaissance and Baroque art. When I put this to Letizia Treves, the curator of its newly opened Artemisia Gentileschi exhibition, she smiled graciously. We left it at that. No need to elaborate. Anyway, her show does the talking for her. It starts well. The first painting you see sets the tone for the rest of the exhibition. It is not only big, biblical and Baroque, but also has a subject matter that provides important autobiographical detail about Gentileschi, who painted Susannah and the Elders (1610) when she was a 17-year-old apprentice working in her father's studio in Rome. It depicts the Old Testament story of the virtuous Susannah - who is trying to have a private bath in a fountain - being harassed by two lecherous men. They tell her that if she refuses to succumb to their advances they will accuse her of adultery, a sin punishable by death. It's a remarkably accomplished picture for one so young, completed under the tutelage of her father, Orazio, who might also have had a hand in its creation. The modelling of the nude body, the colour-mixing used in the rendering of the garments, and the play of shadows are all techniques she learned from her father. But the emotion and palpable menace the painting transmits are pure Artemisia. For her, it was personal. The teenage artist was a young woman operating in a man's world. Unwanted and uninvited sexual advances were not unknown to her. She could relate to Susannah's ordeal. And more. Around the time she was working on this painting, her father began a collaboration with an artist called Agostino Tassi, who aggressively pursued Artemisia. She rebuffed him. He attacked her, she fought back. But he was too strong. Tassi stood trial for her rape in 1612, the transcript from which is shown in the exhibition. He was convicted, but not before the court had tortured Artemisia by crushing her fingers until she screamed. They wanted to be sure she was telling the truth. ""It is true! It is true! It is true!"" she exclaimed through the pain. It is a traumatic experience that has come to define Artemisia Gentileschi as an artist and a historical figure. Given what she produced next, you can see why. On the right-hand wall in the second room of the exhibition hang two huge paintings of the same Old Testament story, Judith Beheading Holofernes. Made by Gentileschi between 1612-14, they do not spare any of the gory details. Judith uses her left hand to get a decent grip on Holofernes's beard, while in her right is the sword with which she decapitates the Assyrian general. Blood gushes as the artist captures the most horrific moment in this most horrific act. It is a piece of revenge art, according to many commentators. And so it might be. But to limit it and the woman who created the picture to such a reductive reading is to underplay, and possibly miss altogether, her significance as a major figure in the history of art. First and foremost, Gentileschi was an exceptional artist, as these two paintings demonstrate. Her mastery of composition, colour and line are first class. The modelling of the three figures is highly sophisticated, as is her use of chiaroscuro (exaggerated contrast between light and shade). Added to this is the drama and atmosphere she conveys in pictures that present the female protagonist in a new light: independent, powerful and determined. Artemisia Gentileschi was a uniquely gifted artist who should be considered among the all-time greatest painters, regardless of her back story. True, she might well have pictured Tassi in her mind as the blade plunged into one of the many male characters in her shock-and-awe paintings. But that was not why she made them. They were commissions. Such scenes were all the rage in 17th Century Italy, where Baroque art - as defined by Caravaggio, with its dramatic lighting and narrative theatricality - lent itself to the spectacular. There is a cinematic quality to it that has influenced filmmakers from Orson Welles to Martin Scorsese. We like thrillers and horror movies. They liked thrillers and horror pictures. Orazio Gentileschi learned his methods from Caravaggio, who painted his version of Judith Beheading Holofernes in 1599. It is a technically better picture than the 20-year-old Artemisia's, but it doesn't have the same graphic intensity, and his Judith looks timid and a bit weedy. His is a pre-watershed picture. Hers is most definitely post-watershed. Not every painting she produced was a winner. There are 29 in the National Gallery show, a few of which are not top notch. But even when she makes a mistake, the outcome is compelling. In 1623 she started work on another Judith picture, this time skulking away in the aftermath of her murderous act in Judith and her Maidservant with the Head of Holofernes (1623-5). It has all the hallmarks of the Italian Baroque: a simple design, a limited number of figures who appear near the front of the picture plane, blocks of rich yellows, reds and blues - and, of course, the single light source creating a scene full of melodrama. The trouble is that the single light source in this instance - a candle near Judith's upper arm - is in the wrong place. It is too far behind Judith, who has her left hand held out catching the light that is clearly behind it, which is not possible. The mistake is compounded by a poorly painted shadow covering much of Judith's face, which is also not possible. It's a splodge and a botch. And yet. Who cares? The fabrics are beautifully painted, Judith's hand is wonderfully rendered, and the composition of the scene is a success. The exhibition ends in London, which is where Orazio had moved to work in the court of Charles I. It is here that we are told Artemisia produced one of her finest paintings. It is a self-portrait called the Allegory of Painting (1638-9). She had used herself as a subject on numerous occasions, but usually in the guise of someone else, as is the case with the National Gallery's recently acquired Self-Portrait as Saint Catherine of Alexandria (1615-17). There is no hiding behind another character in this grand finale, show-stopping self-portrait, in which we see her at work (made possibly with the use of a mirror) dressed in a splendid green silk dress with a lace trim. She looks younger than a woman in her mid 40s (her age when in London), which has led some to question whether she made this painting earlier. But it doesn't really matter. The painting matters. And it's wonderful. It is an extraordinary achievement by an extraordinary artist. It is a good way to end a good show by a good curator. Recent reviews by Will Gompertz: Follow Will Gompertz on Twitter",There is an art to exhibiting art. Good curators are more than specialist academics with arcane knowledge they share from time to time with us in an exhibition. Good curators are storytellers with a sense of theatre and occasion. Good curators are impresarios.
"Screenwriter Jenny Lumet has said he directed his driver to take her to his apartment after she'd said she wanted to go home, before they had sex. Simmons said her memory of that evening in 1991 was ""very different from mine"". But he apologised for being ""thoughtless and insensitive"" in some relationships over the years. In a statement, he said: ""While I have never been violent, I have been thoughtless and insensitive in some of my relationships over many decades and I sincerely and humbly apologise."" Feeling of 'dread' Lumet, who wrote Rachel Getting Married and The Mummy and is the daughter of film-maker Sidney Lumet, gave her account to The Hollywood Reporter. She said she had known Simmons before he offered her a ride home one night. When she gave his driver her address, she claims Simmons told his driver ""no"". When she questioned his response and told the driver her address again, she said the mogul repeated the word ""no"" and the car doors locked. The driver took the pair to Simmons' apartment, she claims. Lumet recalled that she said she wanted to go home but felt ""dread"". ""You didn't punch me, drag me or verbally threaten me,"" she wrote. ""You used your size to manoeuvre me, quickly, into the elevator."" 'Did what I was told' Afraid of Simmons and his driver, she said she then ""simply did what I was told"" because she ""desperately wanted to keep the situation from escalating"". Simmons co-founded Def Jam with Rick Rubin in 1983, signing artists like LL Cool J, the Beastie Boys and Public Enemy. He has also co-produced films including 1996's The Nutty Professor. More recently, he has been chief executive of Rush Communications. In response to Lumet's account, he said: ""I have been informed with great anguish of Jenny Lumet's recollection about our night together in 1991. ""I know Jenny and her family and have seen her several times over the years since the evening she described. 'A distraction' ""While her memory of that evening is very different from mine, it is now clear to me that her feelings of fear and intimidation are real."" He added: ""This is a time of great transition. The voices of the voiceless, those who have been hurt or shamed, deserve and need to be heard. ""As the corridors of power inevitably make way for a new generation, I don't want to be a distraction so I am removing myself from the businesses that I founded."" He added that he would ""step aside and commit myself to continuing my personal growth, spiritual learning and above all to listening"". Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk.","Russell Simmons, the music mogul who co-founded Def Jam Records, has stepped down from his companies after being accused of sexual misconduct."
"The presenter, who hosted a weekday current affairs show on the station for 35 years before leaving in 2002, will return for a one-hour special looking back over his life and career. Sir Jimmy Young at 90 will feature the broadcaster in conversation with former colleague Ken Bruce. The programme will be broadcast on 20 September at 22:00 BST. ""It's great to be making a programme for Radio 2 - especially with my mate Ken Bruce,"" Sir Jimmy said. ""To be reunited with Sir Jimmy is a pleasure and a privilege,"" Bruce added. ""He's a fantastic broadcaster with an amazing story. ""Having him back at Radio 2, if only for an hour, is a treat for us all."" Sir Jimmy - known to his fans as 'JY' - had a successful music career before becoming a broadcaster. In 1955 he became the first British singer to have two consecutive number one singles, with Unchained Melody and The Man from Laramie. He went on to join the BBC as one of the original Radio 1 DJs at the station's inception in 1967, moving to Radio 2 in 1973. There he occupied the early afternoon slot where he interviewed every serving British prime minister during his time on air, as well as many other leading world figures.",Veteran broadcaster Sir Jimmy Young is to return to BBC Radio 2 to celebrate his 90th birthday.
"By Mark SavageBBC Music reporter School of Rock, based on the 2002 film, is about a group of schoolchildren who turn their lives around by entering a Battle of the Bands contest. The young cast - aged between nine and 12 - all play their own instruments. ""At this time when there are cuts to music in schools, these are the kids that prove music is vital,"" Lord Lloyd-Webber told the BBC. He said music ""is a force for the good and empowers young people"". 'Alienated from politics' The composer, whose own foundation funds arts education programmes in the UK, said the government should rethink its ""counter-productive"" cuts. ""At a time when people are feeling alienated from politics, the arts cut right through that,"" he said. Downton Abbey creator Julian Fellowes, who wrote the musical's book, picked up on the theme. ""One of the main purposes of the education years is to help children find out who they are and what they want to do, and the arts are one of the greatest means of allowing people to discover their identity,"" he said. ""It really is mad for the country to cut back on that and throw out a whole load of people from school who really haven't found out what they want to do."" Lord Lloyd-Webber and Lord Fellowes were speaking as they unveiled the cast for the West End transfer of School of Rock, which opened to enthusiastic reviews on Broadway last year, earning four Tony Award nominations. The show, based on the Jack Black film, features three rotating casts of child actors, selected after a nationwide search earlier this year. They range from experienced actors, drawn from the casts of Matilda and The Lion King, to complete newcomers. Among them is Amelia Poggenpoel, from Formby, who made headlines last year when her singing reduced Shia LaBeouf to tears. The 10-year-old approached LaBeouf at his #TouchMySoul exhibition in Liverpool and performed Who's Lovin' You by the Jackson Five. When she finished, the actor stood up and hugged her, sobbing: ""You touched my soul."" She will play Shonelle in the musical, her first West End role after several appearances in Liverpool. Amelia told the BBC she was living in a ""School of Rock house"" with other cast members, where tutors run lessons before and after rehearsals. The set up is ""much better"" than regular school, she added. Other cast members include Isabelle Methven and Eva Trodd, both 11, who previously played Little Cosette in the West End production of Les Miserables, and Natasha Raphael, 10, who toured the UK in the role of Annie last year. Toby Lee, an 11-year-old from Priors Marston who runs a successful YouTube channel showcasing his guitar skills, is one of three youngsters filling the role of Zack. 'Depth of talent' The show revolves around failed rock star Dewey Finn who, in need of cash to pay his rent, fakes his credentials as a substitute teacher. But what starts out as an excuse to get paid for slacking off turns into a life-affirming experience, as he prepares his pupils for a local battle of the bands. ""The reason I loved this story is every character in this story is somehow changed for the better through music,"" said Lord Lloyd-Webber, who first revealed he had bought the rights in 2013. For the first time since Jesus Christ Superstar in 1971, he chose to premiere his new show in the US, principally because it has more relaxed child labour laws - meaning the production could have one permanent cast. He previously expressed misgivings about bringing the show to London, saying he doubted whether he could find 39 children capable of pulling off the live musical elements of the show. Instead, he said, ""we could have found five bands to play"". ""The depth of musical talent that we auditioned is something that I have to admit I didn't think we would find. I kind of feared they'd all be into their computers, but this proves that they aren't."" The role of Dewey Finn will be played in London by David Fynn, currently starring in US sitcom Undateable. He said working with three rotating casts of children helped give the show spontaneity. ""It keeps me on my toes and, as a result, it helps them stay engaged."" The show begins previews at the New London Theatre on 24 October before opening night on 14 November. Follow us on Twitter @BBCNewsEnts, on Instagram at bbcnewsents, or if you have a story suggestion email entertainment.news@bbc.co.uk.",Andrew Lloyd Webber says his new musical will challenge politicians to improve school music lesson funding.
"In newly filed court documents as part of his $50m (£39m) defamation case against her, Depp accused Heard of having ""painted-on bruises"". ""I have denied Ms Heard's allegations vehemently since she first made them in May 2016,"" he said. A lawyer for Heard denied the allegations against his client. Depp launched the defamation case against Heard after the actress described herself as the victim of domestic abuse in a piece in the Washington Post in December. Heard asked a judge in Virginia to dismiss the lawsuit, prompting the new declaration from Depp. ""I have denied Ms Heard's allegations vehemently since she first made them in May 2016 when she walked into court to obtain a temporary restraining order with painted-on bruises that witnesses and surveillance footage show she did not possess each day of the preceding week. ""I will continue to deny them for the rest of my life."" Depp added: ""I never abused Ms Heard or any other woman. ""She was the perpetrator, and I was the victim. While mixing prescription amphetamines and non-prescription drugs with alcohol, Ms Heard committed innumerable acts of domestic violence against me, often in the presence of a third-party witness, which in some instances caused me serious bodily harm."" In a statement to People magazine, Heard's lawyer Eric George said: ""The evidence in this case is clear: Johnny Depp repeatedly beat Amber Heard. ""In light of the important work done by the #TimesUp movement highlighting the tactics abusers use to continue to traumatise survivors, neither the creative community nor the public will be gaslit by Mr Depp's baseless blame-the-victim conspiracy theories."" A spokesperson for Depp, in a statement given to the BBC, accused Heard of an ""infamous hoax"" which he said had been ""obliterated"", adding: ""Amber Heard's lawyer says 'the evidence in this case is clear,' and then presents none."" Depp and Heard started dating after meeting on the set of 2011 comedy The Rum Diary. They married in Los Angeles in February 2015. The BBC has contacted Depp and Heard's representatives for comment. Heard obtained a restraining order against Depp after accusing him of abuse in May 2016, which he denied. The couple settled their divorce out of court in 2016 and both actors signed non-disclosure agreements barring them from discussing their relationship publicly. In a joint statement issued at the time, they said their relationship was ""intensely passionate and at times volatile, but always bound by love"". They added: ""Neither party has made false accusations for financial gain. There was never any intent of physical or emotional harm."" Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk.","Hollywood star Johnny Depp has denied physically abusing ex-wife Amber Heard, arguing that it was she who abused him during their relationship."
