text,summary
"Emily Koch suffered two broken legs and ligament damage in the collision in London. But despite her initial anger at the man responsible, she says the accident led to her pursuing her dream to become a writer. Her first novel won a major award and her second will be released in March. Ms Koch says her career as an author began when she stepped on to a pedestrian crossing in Mile End, east London, in 2008. With the lights flashing amber it should have been safe for her to cross but she was hit by a car, breaking her legs and leading to months of physio and rehabilitation before she could walk again. Ms Koch is about to release her second novel Keep Him Close after her debut book If I Die Before I Wake was named one of Waterstones paperbacks of the year for 2019. Both are set in Bristol, where she lives. Keep Him Close tells the story of a woman who befriends the mother of her son's killer. Horfield Prison, which Ms Koch says she passes every day, is at the centre of the plot. 'Life is short' ""The accident galvanised me to write,"" said Ms Koch, 34. ""It made me realise that life is too short not to do the things that you love. ""The writing came several years afterwards but if I hadn't had that accident there's a good chance I'd still be sitting at my desk in an office thinking 'oh, one day I'll have that great idea and write a book'."" Despite her philosophical outlook now, at the time Ms Koch, originally from Cheltenham, says she was furious with the driver, who was spoken to by the police but not prosecuted. He was sent on a driver improvement course and paid Ms Koch compensation. ""Having to be wheeled to the toilet by your father at the age of 22 or being unable to sleep due to the pain and discomfort of wearing leg braces - it was tough and for a long time, I found it really hard to cross roads,"" she said. ""There were moments in the early days of my recovery when I did get angry and shouted at him [the driver]. Even though he wasn't there, I directed my frustrations at him. ""But I've managed to let that anger go. I think if I met him now I think I would say thank you. ""But I'd also tell him to drive more carefully.""",A woman left seriously injured after being hit by a car says she would thank the driver if they met now.
"Lucy Edwards, who became Radio 1's first blind presenter last year, has been a hit on the app since launching her channel last month. A video demonstrating how blind people light a candle amassed 7.5m views while another about crossing a road notched up more than two million. The 24-year-old, from Sutton Coldfield, said she welcomed questions. Freelance journalist Ms Edwards has Incontinentia Pigmenti, which affected her sight as a child. She lost sight in her right eye at the age of 11, and in her left eye at 17. 'Can blind people work?' Being asked how blind people perform certain everyday tasks inspired her to start making videos. ""At the start it overwhelmed me how many people asked me things like 'how do you go to the toilet or how do you know what room you're in?' she said. ""But I'd rather they ask me and know I'm competent and capable."" Ms Edwards said the most Googled question about blindness was ""can a blind person work?"". ""It's mundane for me, I've known how to do things for seven years, but for everyone else, it dispels myths about blindness. ""They're [people] just genuinely curious, I'm just happy they're intrigued about my life, it's a privilege to be able to teach people."" Despite this, she said the ""crazy"" reaction to her candle video had surprised her but she was pleased people were interested. ""It's gone from strength to strength, I didn't expect it to blow up this quickly,"" she said. Follow BBC West Midlands on Facebook, Twitter and Instagram. Send your story ideas to: newsonline.westmidlands@bbc.co.uk","A blind vlogger hopes her TikTok videos on living with sight loss will ""dispel myths"" about the condition."
"The vehicles were used on 12 routes over the past decade but Mayor Boris Johnson called them ""cumbersome machines"" which were too big for narrow streets and encouraged fare-dodgers. He has ordered nearly 500 new buses to replace them and promised more vehicles on the routes during the rush hour. But campaigners said they were ""the most accessible bus in London"" and would be missed by wheelchair users. The final route to be operated with bendy buses has been the 207 between Hayes and White City, and the last of the long vehicles was to run late on Friday. Transport for London (TfL) predicted it would increase its takings by £7.4m because fare-evasion would now become harder. The ""hop-on, hop-off"" style of the bendy buses, with few checks on tickets, had encouraged thousands of people to avoid paying. 'Frequently stranded' But Transport for All, which speaks for older and disabled transport users, said TfL was ""nuts"" to scrap the vehicles, especially as their new Routemaster-style replacements had only ""a tiny wheelchair space"". ""On every other bus in London, wheelchair users are frequently left stranded at the bus stop when pushchair users refuse to fold their buggy and give up the wheelchair bay,"" said spokeswoman Lianna Etkind. ""Many wheelchair users simply won't travel at the time of the school run, because conflict with pushchair users who won't move is so common."" The Liberal Democrats said while 120 passengers could board a bendy bus, a double-decker could hold only 85. ""As the replacement buses to the bendy buses are often just maintaining the same frequency, the reality is significant less capacity on numerous bus routes across London,"" said London Assembly member Caroline Pidgeon. And Labour member Val Shawcross said ""a considerable amount of TfL's time, effort and money had been spent replacing these buses, which covered just 12 out of 700 bus routes in London"".",The last of London's bendy buses was taken off the roads on Friday night.
"Four members of Friends of Horsey Seals netted the seal, which is about four years old, on a Norfolk beach. David Vyse, vice-chairman of the group, said: ""It had been sleeping on the beach, but got very feisty once we got it in the net."" After about 30 minutes the team managed to remove a rubber ring from its neck and then release it back into the sea. ""The operation can be pretty dangerous because they have a vicious bite,"" he said. Mr Vyse said the team, which monitors the seal colony at Horsey between Great Yarmouth and Cromer, had checked to see if it was injured and had it been it would have been taken to the RSPCA wildlife hospital at East Winch, in west Norfolk. He said there were about six or so seals they know of which have either fishing wire or frisbee-type flying rings stuck around their necks. ""Normally we can't catch them because they are too close to the water,"" he said. He urged people to be more aware of plastics and the danger they pose to wildlife. ""People should be more careful and respectful,"" said Mr Vyse. He said the rubber ring was removed at about 13:00 BST on Saturday. The East Winch animal hospital, near King's Lynn, has treated at least 50 seals with injuries caused by discarded man-made rubbish since 2008, the RSPCA said. Find BBC News: East of England on Facebook, Instagram and Twitter. If you have a story suggestion email eastofenglandnews@bbc.co.uk","Volunteers have helped capture a ""feisty"" seal to remove a rubber ring that had got stuck around its neck."
"He won with the one-liner: ""I decided to sell my Hoover... well it was just collecting dust."" Vine, 47, saw his joke scoop almost a fifth of the votes in the competition run by comedy television channel, Dave. It is the first time the award has been presented to a previous winner. Vine also won in 2010 with the joke: ""I've just been on a once-in-a-lifetime holiday. I'll tell you what, never again."" He was runner up in 2011, 2012 and 2013. On being crowned this year's winner, Vine said: ""I'm a little bit surprised but very delighted. This is the second time I've won this award but I guess nobody loves a repeat more than Dave."" In an interview on BBC Radio 4's Today programme, the comedian talked about the process of writing one-liners. He said: ""When I think of what I think is a good joke I do often laugh, because of course it's the first time I've heard it. So I will chuckle. ""But I've been wrong many times and I'll go in front of an audience thinking this is an absolute work of genius and they stare back at me going 'Sorry you want us to laugh at this point, do you?' and I realise that doesn't work at all. ""But it also works the other way and that's the exciting thing about writing comedy - you never quite know until you try it with an audience. Never test it on family and friends."" When asked if he ever stretched his jokes to a paragraph he said: ""Only on this show would I be asked that question. It's a beautiful question 'do you ever do paragraphs?' ""I do occasionally, but what happens is I think that bit can go, and I don't really need that bit, and then eventually it's back to a line and a half again."" Some of the finalists for funniest joke of the Fringe Festival 2014 Steve North, general manager of Dave, said: ""It's great to see a range of established and new comedians in this year's top 10. ""The award celebrates the fantastic range of comedy on offer at the Fringe, and Tim has once again proved he is king of the one-liners."" To find the favourite joke, the judges scoured the festival's venues for a week before nominating their three favourite jokes. They were then put to the public vote, with 2,000 people choosing those they found funniest. Three female comedians, Bec Hill, Ria Lina and Felicity Ward, featured in this year's top 10, reflecting the 62% rise of women performing at this year's Fringe on last year.",A joke by comedian Tim Vine about a vacuum cleaner has been voted the funniest at this year's Edinburgh Fringe Festival.
"The Roy Wood Rock 'n' Roll Band had their instruments taken when the vehicle was stolen in a ram-raid on a warehouse in Leeds on Thursday. Wood - who wrote ""I Wish It Could Be Christmas Everyday"" - had to cancel that night's ""Rockmas"" gig in Hull. West Yorkshire Police said the van and equipment were found in East Ardsley. Wood said the van had contained ""about £100,000 of gear, with PA equipment, three or four guitars, and Marshall amps"". He said the band had cancelled a show at Hull City Hall and hoped to reschedule. Latest news from across Yorkshire Birmingham-born musician Wood, who now lives in Derbyshire, is currently on tour with his Rock 'n' Roll Band. He has previously played with The Move, ELO and Wizzard. The band is due to play another show in Yorkshire on 20 December, at Sheffield's City Hall. It is the final date in the Rockmas 2018 tour, which featured special guests Alfie Boe and Level 42's Mark King. Anyone who saw the van - an Iveco Eurocargo - or witnessed the theft is urged to contact police. You may also be interested in Roy Wood","A van belonging to former Wizzard singer Roy Wood's band has been returned, along with an estimated £100,000-worth of equipment inside."
"The event, which normally takes place in July, is being run by a new management team which said circumstances were ""beyond their control"". The carnival began in 1967 and is a celebration of the city's Afro-Caribbean culture. Tens of thousands of people attended the event in 2014. A spokesperson said: ""Whilst we understand the disappointment, we are confident the community will be behind our efforts and we look forward to working with the community and partners over the coming months."" St Pauls Carnival is funded by Arts Council England and Bristol City Council.","Bristol's St Pauls Carnival has been postponed until September due to ""ongoing challenges"", organisers say."
"China Harbour Engineering Company will open a base in the UK and spend half of the contract's value on a British workforce, partners and supply chain. Prime Minister David Cameron said the deal was ""win-win"" for both countries. About 1,850 construction jobs could be created by the £1bn lagoon project, which could operate from 2018. Mark Shorrock, chief executive of Tidal Lagoon Power, said: ""I have worked in China, speak Chinese and have huge esteem for China's delivery capability and ability to deliver projects to time and budget."" The two firms could also work together for the development of similar projects in Asia. Speaking during Prime Minister's Questions on Wednesday, Mr Cameron added: ""It's [Swansea Bay] subject to a planning decision, but I think tidal power does have significant potential. ""I've seen some of the plans for myself and I hope this is something we can make progress on and obviously attracting investment into the country to help make it happen is a win-win for both countries."" The deal could also lead to further investment with China Harbour Engineering Company - one of the world's largest specialist marine engineering contractors and investors - looking at growing its presence in the UK and Europe over the next decade. Its president, Lin Yi Chong, said Swansea Bay Tidal Lagoon was a ""pioneering scheme that could bring the world a new energy option, as the cornerstone project in our business development strategy in the UK and wider Europe"". Swansea Bay tidal lagoon facts",A £300m deal to build the six-mile wall for the world's first tidal lagoon power plant in Swansea Bay has been awarded to a company from China.
"Imiela, who was jailed in 2004 for seven rapes between 2001 and 2002, was hauled in for questioning again six years later. This time he was suspected of the rape, indecent assault and serious sexual assault of a 29-year-old woman in the early hours of Christmas Day 1987 in Forest Hill, south-east London. Investigators said DNA samples from Imiela, who had also previously been convicted of armed robbery, matched with those originally taken from his 1987 victim, who died in 2006. On Thursday, Imiela, originally from Appledore, Kent, was also convicted of that attack. Following his conviction, the judge told the jury Imiela had been more widely known as the ""M25 rapist"". 10,000 calls In November 2001, former railway worker Imiela began what Kent Police described as a ""rape spree"" and attacked a total of eight women and girls between then and 21 November 2002. In each case, he would snatch his victims where they were walking, drag them into a secluded area and rape them - exactly what he had done with his first victim. The first attack, on a 10-year-old girl in Ashford, sparked what police said was the biggest investigation since the Yorkshire Ripper case, costing £2.1m. Up to 350 officers took about 10,000 calls from the public in response to appeals for information. More than 3,500 men were DNA-tested in the course of the investigation. About eight months later in July 2002, he raped two women on the same day - a 30-year-old in Earlswood, Surrey, and six hours later a woman, aged 26, on Putney Common, south-west London. In August, he attacked a 52-year-old woman on Wimbledon Common and, the next day, a 26-year-old woman in Epsom, Surrey. His sixth victim, in September 2002, was a girl of 13 in Woking, Surrey, and the following month he targeted a 14-year-old girl in Stevenage, Hertfordshire. Police linked the various attacks and an appeal to catch the sex predator was broadcast on the BBC's Crimewatch programme in October 2002. A month later, he struck again. In November 2002, he preyed on another 10-year-old girl - this time in Birmingham - who he indecently attacked. 'Savage and perverted' Imiela was finally arrested on a motorway in Kent weeks later. In March 2004 he was convicted of the seven rapes, which prosecutor Richard Hearnden described at the time as ""a savage and perverted campaign against total strangers"". After that case, Imiela was jailed for life with a minimum term of eight years, meaning he would have been eligible for parole later this year. In the latest court case over the 1987 attack, the Old Bailey jury was told about his catalogue of previous sex crimes. But at the time of his first sex attack Imiela was already on the run after an armed robbery. Two weeks after the rape, he handed himself in to police for the robbery and was jailed for 14 years for that crime. In the latest trial, which ended on Thursday, the court heard how the victim - who transpired to be Imiela's first in a long line of victims - had to seek treatment for mental health problems two years after the attack. After being discharged by doctors, she moved to South Africa and her marriage ended. She died in 2006 and it was another four years before the Metropolitan Police charged Imiela over the attack. Det Con Claire Watts said it was ""extremely sad"" the victim was ""no longer alive to witness justice served"". And police believe the case surrounding Imiela might not yet be closed. Det Insp John Foulkes said it was ""likely that police are unaware of all his offending"". He urged any potential victims of his from the late-1980s or between 1996 and 2002 to come forward. Related Internet Links HM Courts Service","Antoni Imiela had already been jailed for eight violent sex attacks - all carried out over the space of a year - when cold case investigators believed he could have been responsible for another, carried out more than a decade before."
"Sterte Court's cladding is different from that used on Grenfell, where 72 people died in a fire in June 2017, but has a similar flammability rating. Poole Housing Partnership said in July last year it would test the panels. However, it said there was no need for separate testing as checks had been carried out by the manufacturer. 'Not safe' Poole People Party ward councillor for Sterte Court, Andy Hadley, said he and residents had been assured fresh tests on the block's cladding would be carried out. He described news that this had not happened as ""shocking"". Sterte Court resident Bill Durrant said he was ""not 100% sure I feel safe"". Poole Housing Partnership previously agreed to replace all of the cladding at Sterte Court because of defects, including buckled panels and loose rivets. It is also set to retro-fit sprinkler systems at the high-rise. All local authorities with Aluminium Composite Material (ACM) cladding on buildings were mandated to send samples to the government. However, chief executive of the partnership, Su Spence, said the cladding at Sterte Court was not ACM but instead timber-based. She added the flammability of the cladding was ""not the key point"". ""The key point is what will happen should it catch fire and we know that the panels here - should they catch fire - will not emit the same level of flames as the ACM panels and actually will fizzle out very, very quickly,"" she said. She added: ""These panels have been tested widely to European standards by the manufacturer so there was no need for us to do a separate test.""",Cladding at a council-owned tower block in Poole has not been tested since the Grenfell Tower tragedy despite a housing association promising to do so.
