model_id,id,target,candidate,rouge1,rouge2,rougeL,rougeLs,chrf
baseline,0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['In a statement, the White House said more than 5.6 million fingerprint records were stolen from the Office of Personnel Management (OPM). An initial investigation suggested only 1.1 million were lost. The OPM acts as the personnel office for the US government and keeps records on 21.5 million federal staff.']",0.2,0.058823529,0.085714286,0.085714286,36.9465957
t5base,0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['more than 5.6 million fingerprint records were stolen from the office of personnel management . initial investigation suggested only 1.1 million were lost . the white house played down the significance of the theft saying that the ability to abuse the data was ""currently limited""']",0.129032258,0.033333333,0.096774194,0.096774194,31.58173488
t5_finetune,0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['The FBI, Pentagon and Department of Homeland Security are all part of a task force assessing how fingerprints could be misused.']",0,0,0,0,24.63211899
bart_base,0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['In a statement, the White House said more than 5.6 million fingerprint records were stolen from the Office of Personnel Management (OPM). An initial investigation suggested only 1.1 million were lost. The OPM acts as the personnel office for the US government and keeps records on 21.5 million federal staff. Identity risk A OPM attack was uncovered in April this year and saw attackers make off with ID and security clearance information about US government staff. Social security numbers, names, addresses, health, financial and biometric data were all taken. Fingerprint records were also stolen and the continuing investigation into the breach has revealed that far more went missing than initially thought. The White House played down the significance of the fingerprint theft saying that the ability to abuse the data was ""currently limited"". However, it acknowledged that the risk could rise as technology improved and fingerprints were increasingly used as a guarantee of identity. ""An inter-agency working group with expertise in this area ... will review the potential ways adversaries could misuse fingerprint data now and in the future,"" it said in a statement. The FBI, Pentagon and Department of Homeland Security are all part of the task force assessing how losing fingerprint data might affect victims. The Office said it would soon start a massive project to inform']",0.075313808,0.025316456,0.058577406,0.058577406,19.88756894
bart_finetune,0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']",['The US government has said it is investigating a massive data breach that has affected more than 5.6 million people.'],0.263157895,0.055555556,0.210526316,0.210526316,28.99890924
bert,0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['Identity risk The OPM attack was uncovered in April this year and saw attackers make off with ID and security clearance information about US government staff. Social security numbers, names, addresses, health, financial and biometric data were all taken.']",0.071428571,0.037037037,0.071428571,0.071428571,28.24362219
baseline,1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['Fourteen fire engines were sent to tackle the blaze, which affected a row of buildings on The Esplanade, in the early hours of Sunday. West Sussex fire service said some of the properties were derelict and the buildings were completely destroyed. Emergency teams were at the scene throughout Sunday and inspections by firefighters were due to continue throughout the night.']",0.083333333,0,0.055555556,0.055555556,15.89976192
t5base,1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']",['fire broke out at beach restaurant in the early hours of sunday . some of the properties were derelict and the buildings were completely destroyed . firefighters were sent to tackle the blaze at its height . residents were evacuated to a leisure centre .'],0.075471698,0,0.037735849,0.037735849,16.76535153
t5_finetune,1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']",['The Esplanade was closed at the junctions with West Street and Lennox Street in Bognor Regis.'],0.142857143,0.076923077,0.142857143,0.142857143,26.53477284
bart_base,1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['Fourteen fire engines were sent to tackle the blaze, which affected a row of buildings on The Esplanade, in the early hours of Sunday. West Sussex fire service said some of the properties were derelict and the buildings were completely destroyed. Emergency teams were at the scene throughout Sunday and inspections by firefighters were due to continue throughout the night. Residents were evacuated to a leisure centre as crews faced ""difficult storm conditions"", the fire service. Sussex Police said the fire broke out at Beach Restaurant and affected derelict buildings next to it. A police spokesman said a gas supply caught fire and had kept the flames going, but emphasised emergency teams were not dealing with a gas mains explosion. About 30 residents were evacuated from flats close to the fire when crews were called just before 04:00 GMT. Fifty firefighters were involved in tackling the blaze at its height. Lead officer Adrian Murphy said: ""This incident has taken place in the midst of a major storm and it was difficult to stand when we arrived on the seafront. ""Our key priority now is to work with the displaced residents to get them safely home as soon as possible."" One person was treated for smoke inhalation but no other injuries were reported. A spokesman for Sussex Fire and Rescue Service said the']",0.05106383,0.008583691,0.034042553,0.034042553,9.940397134
